id,link,text
39,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Bloated-Contaminator,Bloated Contaminator
40,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/The-Eternal-Wanderer,The Eternal Wanderer
41,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Ossification,Ossification
42,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Phyrexian-Arena,Arène phyrexiane
43,https://www.cardmarket.com/fr/Magic/Products/Singles/Dominaria-Remastered/Counterspell,Contresort
44,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Experimental-Augury,Experimental Augury
45,https://www.cardmarket.com/fr/Magic/Products/Singles/Dominaria-Remastered/Mountain-V2,Montagne (V.2)
46,https://www.cardmarket.com/fr/Magic/Products/Singles/Dominaria-Remastered/Forest-V1,Forêt (V.1)
47,https://www.cardmarket.com/fr/Magic/Products/Singles/Dominaria-Remastered/Swamp-V2,Marais (V.2)
48,https://www.cardmarket.com/fr/Magic/Products/Singles/Zendikar/Quest-for-Pure-Flame,Quête de la Pure Flamme
49,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Glissa-Sunslayer,Glissa Sunslayer
50,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Tyvar-Jubilant-Brawler,"Tyvar, Jubilant Brawler"
51,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Conduit-of-Worlds,Conduit of Worlds
52,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/White-Suns-Twilight,White Sun's Twilight
53,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Razorverge-Thicket,Halliers à l'Orée des Rasoirs
54,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Darkslick-Shores,Rivages de Nappenoire
55,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Blackcleave-Cliffs,Falaises de Coupenoire
56,https://www.cardmarket.com/fr/Magic/Products/Singles/Dominaria-Remastered/Plains-V1,Plaine (V.1)
57,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Cankerbloom,Cankerbloom
58,https://www.cardmarket.com/fr/Magic/Products/Singles/Phyrexia-All-Will-Be-One/Drown-in-Ichor,Drown in Ichor
59,https://www.cardmarket.com/fr/Magic/Products/Singles/Dominaria-Remastered/Mountain-V1,Montagne (V.1)
